,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age
1537,23000.0,23000.0,36,F,STREET VENDOR,7000.0,MC,YAMAHA,FINO (MLEKE),2011,AD,35500,S3,2022-12-06,S2,NPL,32,12
1538,46000.0,46000.0,36,F,อื่นๆ,10000.0,MC,HONDA,PCX 150,2017,CQ,61500,S3,2022-12-12,S2,NPL,37,6
1539,14200.0,13053.27,12,F,พนักงานบริษัท,9000.0,MC,HONDA,WAVE 110 I,2009,AF,19000,S3,2022-12-12,S2,NPL,23,14
1540,28000.0,28000.0,12,M,เกษตรกร,30000.01,MC,HONDA,WAVE 110I,2021,CH,38000,S3,2022-11-05,S2,NPL,55,2
1542,110000.0,110000.0,60,F,อื่นๆ,15000.0,CAR,HONDA,CIVIC,2005,AV,167500,S3,2022-12-03,S2,NPL,36,18
1543,29000.0,29000.0,36,M,อื่นๆ,20000.0,MC,HONDA,DREAM 110,2016,CB,45000,S3,2022-12-06,S2,NPL,33,7
1544,27300.0,27300.0,18,M,พนักงานบริษัท,9000.0,MC,HONDA,WAVE 110 I,2017,CV,42000,S3,2022-12-06,S2,NPL,34,6
1545,230000.0,230000.0,60,M,พนักงานบริษัท,20000.0,PU,TOYOTA,HILUX VIGO,2007,DR,287000,S3,2022-12-14,S2,NPL,34,16
1546,29000.0,29000.0,36,M,เลี้ยงสัตว์,20000.0,MC,HONDA,WAVE 110I,2022,CH,44500,S3,2022-12-09,S2,NPL,30,1
1547,140000.0,140000.0,60,F,STREET VENDOR,20000.0,PU,ISUZU,D-MAX,2003,AF,184000,S3,2022-12-06,S2,NPL,40,20
1548,230000.0,230000.0,60,M,อื่นๆ,30000.0,PU,TOYOTA,HILUX VIGO,2010,FG,332500,S3,2022-12-14,S2,NPL,49,13
1549,152550.0,152550.0,60,M,STREET VENDOR,30000.0,CAR,TOYOTA,INNOVA,2005,AV,226000,S3,2022-12-18,S2,NPL,36,18
1550,25000.0,25000.0,24,M,ข้าราชการ,32000.0,MC,YAMAHA,GRAND FILANO 125,2017,AT,33500,S3,2022-12-09,S2,NPL,61,6
1551,250000.0,250000.0,60,M,อื่นๆ,17000.0,PU,TOYOTA,HILUX REVO,2015,EI,387500,S3,2022-12-06,S2,NPL,42,8
1552,27300.0,27204.98,36,M,อื่นๆ,20000.0,MC,YAMAHA,M-SLAZ 150,2017,BC,42000,S3,2022-12-18,S2,NPL,30,6
1554,180000.0,180000.0,60,M,อื่นๆ,26000.0,CAR,HONDA,CIVIC,2007,AV,238500,S3,2022-12-03,S2,NPL,29,16
1555,15000.0,15000.0,12,F,STREET VENDOR,20000.0,MC,HONDA,WAVE 110 I,2011,AV,24000,S3,2022-12-14,S2,NPL,26,12
1556,20000.0,20000.0,24,M,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2010,AP,31000,S3,2022-12-14,S2,NPL,31,13
1557,42000.0,42000.0,24,M,STREET VENDOR,30000.0,MC,HONDA,PCX 150,2016,CF,56000,S3,2022-12-18,S2,NPL,37,7
1558,180000.0,180000.0,60,F,STREET VENDOR,25000.0,CAR,MITSUBISHI,LANCER,2002,AC,105000,S3,2022-12-27,S2,NPL,29,21
1559,32000.0,32000.0,36,F,อื่นๆ,22000.0,MC,HONDA,WAVE 110 I,2019,DS,43000,S3,2022-12-14,S2,NPL,38,4
1560,21000.0,21000.0,18,F,เกษตรกร,15000.0,MC,HONDA,MSX 125,2015,BK,28500,S3,2022-12-29,S2,NPL,46,8
1561,48000.0,48000.0,36,M,พนักงานบริษัท,15000.0,MC,HONDA,PCX 150,2018,DD,64500,S3,2022-12-24,S2,NPL,25,5
1563,50000.0,50000.0,36,M,พนักงานบริษัท,14000.0,MC,HONDA,PCX 160,2021,BQ,82500,S3,2022-12-06,S2,NPL,26,2
1564,25000.0,25000.0,36,F,อื่นๆ,9000.0,MC,HONDA,WAVE 110 I,2013,BU,34000,S3,2022-12-29,S2,NPL,48,10
1565,30000.0,30000.0,24,F,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2017,CR,40000,S3,2022-12-27,S2,NPL,47,6
1566,92000.0,92000.0,30,F,STREET VENDOR,20000.0,PU,MITSUBISHI,TRITON,2007,BE,184000,S3,2022-12-29,S2,NPL,61,16
1567,32000.0,32000.0,36,F,STREET VENDOR,20000.0,MC,HONDA,WAVE 110 I,2021,DQ,46000,S3,2022-12-24,S2,NPL,47,2
